LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Country full name
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2003,20.099257,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2004,20.015152,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2005,18.941694,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2006,19.374794,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2007,21.376904,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2008,21.233953,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2009,19.675673,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2010,18.876999,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2011,18.607616,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2012,18.726074,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2013,20.178432,Finland
FIN,WAGEGAP,TOT,PC_MENWAGE,A,2014,19.609079,Finland
FRA,WAGEGAP,TOT,PC_MENWAGE,A,1995,14.571465,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,1996,15.629953,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,1997,15.3803,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,1998,14.573853,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,1999,14.320447,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2000,14.57124,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2001,15.125461,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2002,15.205245,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2003,15.144244,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2004,14.954294,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2005,14.389411,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2006,13.977817,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2007,13.964794,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2008,14.344262,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2009,14.031266,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2010,14.054337,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2011,13.950789,France
FRA,WAGEGAP,TOT,PC_MENWAGE,A,2012,13.672824,France
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1992,27.012686,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1993,23.391813,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1994,21.025787,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1995,19.981585,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1996,20.892225,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1997,21.4547,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1998,21.163851,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,1999,21.047304,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2000,20.510708,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2001,19.248508,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2002,19.135803,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2003,20.397585,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2004,22.509352,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2005,17.302053,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2006,19.622093,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2007,17.105263,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2008,17.442335,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2009,17.045454,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2010,16.750813,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2011,16.666666,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2012,15.300547,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2013,13.857142,Germany
DEU,WAGEGAP,TOT,PC_MENWAGE,A,2014,17.079531,Germany
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2004,13.875598,Greece
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2005,16.666666,Greece
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2006,11.87863,Greece
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2007,11.629049,Greece
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2008,9.5237713,Greece
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2009,9.5871658,Greece
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2010,12.172841,Greece
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2011,10.714286,Greece
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2012,6.8528018,Greece
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2013,11.273732,Greece
GRC,WAGEGAP,TOT,PC_MENWAGE,A,2014,9.0909081,Greece
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1989,25.979979,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1992,17.391092,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1993,7.9486289,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1994,15.181054,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1995,15.754002,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1996,17.775349,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1998,15.671893,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,1999,15.301231,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2000,14.098768,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2001,13.689781,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2002,9.1297121,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2003,1.4760045,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2004,3.0343738,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2005,4.0215263,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2006,0.38438705,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2007,3.6481061,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2008,2.2206545,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2009,3.8760881,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2010,6.3817124,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2011,6.8639054,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2012,11.332462,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2013,8.7236509,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2014,3.7726054,Hungary
HUN,WAGEGAP,TOT,PC_MENWAGE,A,2015,9.5238094,Hungary
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2004,19.225464,Iceland 
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2005,13.199229,Iceland 
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2006,12.400077,Iceland 
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2007,15.89033,Iceland 
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2008,13.328559,Iceland 
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2009,15.977813,Iceland 
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2010,14.314784,Iceland 
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2011,14.079813,Iceland 
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2013,14.527463,Iceland 
ISL,WAGEGAP,TOT,PC_MENWAGE,A,2014,13.59349,Iceland 
IRL,WAGEGAP,TOT,PC_MENWAGE,A,1994,25.182482,Ireland
IRL,WAGEGAP,TOT,PC_MENWAGE,A,1997,21.716667,Ireland
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2000,19.729731,Ireland
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2003,19.702837,Ireland
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2004,18.230301,Ireland
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2005,13.793103,Ireland
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2006,14.411326,Ireland
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2007,17.953447,Ireland
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2008,14.964028,Ireland
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2009,14.887077,Ireland
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2010,12.844729,Ireland
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2011,10.446853,Ireland
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2012,8.3280916,Ireland
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2013,12.769828,Ireland
IRL,WAGEGAP,TOT,PC_MENWAGE,A,2014,15.173429,Ireland
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1986,17.241379,Ireland
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1987,15.625,Ireland
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1989,11.111111,Ireland
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1991,10,Ireland
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1993,11.504425,Ireland
ITA,WAGEGAP,TOT,PC_MENWAGE,A,1995,14.583333,Ireland
